run_id,architecture,trained_task_count,seed,task,task_status,validation_examples,supervised_tokens,token_accuracy_pct,exact_sequence_accuracy_pct
transformer-tasks16-seed17,transformer,16,17,fixed_points,seen,160,320,94.375000,88.750000
transformer-tasks16-seed17,transformer,16,17,to_inversion_vector,seen,160,5462,72.775540,20.000000
transformer-tasks16-seed17,transformer,16,17,pattern_avoidance,seen,160,320,93.125000,86.250000
transformer-tasks16-seed17,transformer,16,17,lds_length,seen,160,320,81.562500,63.125000
transformer-tasks16-seed17,transformer,16,17,right_multiply_simple,seen,156,5144,76.555210,14.102564
transformer-tasks16-seed17,transformer,16,17,conjugate,seen,109,3550,62.563380,8.256881
transformer-tasks16-seed17,transformer,16,17,to_cycle,seen,160,5756,64.749826,12.500000
transformer-tasks16-seed17,transformer,16,17,descents,seen,160,320,77.500000,55.000000
transformer-tasks16-seed17,transformer,16,17,commutator,seen,110,3816,61.294549,6.363636
transformer-tasks16-seed17,transformer,16,17,length,seen,160,485,79.587629,38.750000
transformer-tasks16-seed17,transformer,16,17,rsk_shape,seen,160,2074,86.788814,23.750000
transformer-tasks16-seed17,transformer,16,17,inverse,seen,160,5594,70.450483,14.375000
transformer-tasks16-seed17,transformer,16,17,cycle_type,seen,160,1358,81.148748,19.375000
transformer-tasks16-seed17,transformer,16,17,bruhat_leq,seen,158,316,99.050633,98.101266
transformer-tasks16-seed17,transformer,16,17,to_reduced_word,fixed_holdout,47,7862,17.692699,0.000000
transformer-tasks16-seed17,transformer,16,17,compose,fixed_holdout,108,3784,61.495772,0.925926
transformer-tasks16-seed17,transformer,16,17,parity,fixed_holdout,160,320,30.312500,0.000000
transformer-tasks16-seed17,transformer,16,17,to_lehmer,fixed_holdout,160,5508,45.715323,0.000000
transformer-tasks16-seed42,transformer,16,42,power,seen,156,5324,65.270473,8.333333
transformer-tasks16-seed42,transformer,16,42,lis_length,seen,160,320,84.062500,68.125000
transformer-tasks16-seed42,transformer,16,42,fixed_points,seen,160,320,90.937500,81.875000
transformer-tasks16-seed42,transformer,16,42,to_inversion_vector,seen,160,5462,73.416331,21.250000
transformer-tasks16-seed42,transformer,16,42,pattern_avoidance,seen,160,320,97.187500,94.375000
transformer-tasks16-seed42,transformer,16,42,lds_length,seen,160,320,80.625000,61.250000
transformer-tasks16-seed42,transformer,16,42,right_multiply_simple,seen,156,5144,76.924572,14.102564
transformer-tasks16-seed42,transformer,16,42,conjugate,seen,109,3550,61.971831,5.504587
transformer-tasks16-seed42,transformer,16,42,to_cycle,seen,160,5756,64.628214,10.625000
transformer-tasks16-seed42,transformer,16,42,descents,seen,160,320,73.750000,47.500000
transformer-tasks16-seed42,transformer,16,42,commutator,seen,110,3816,61.215933,5.454545
transformer-tasks16-seed42,transformer,16,42,length,seen,160,485,80.000000,40.000000
transformer-tasks16-seed42,transformer,16,42,rsk_shape,seen,160,2074,86.837030,25.625000
transformer-tasks16-seed42,transformer,16,42,inverse,seen,160,5594,71.576689,17.500000
transformer-tasks16-seed42,transformer,16,42,cycle_type,seen,160,1358,78.865979,18.125000
transformer-tasks16-seed42,transformer,16,42,bruhat_leq,seen,158,316,99.367089,98.734177
transformer-tasks16-seed42,transformer,16,42,to_reduced_word,fixed_holdout,47,7862,14.843551,0.000000
transformer-tasks16-seed42,transformer,16,42,compose,fixed_holdout,108,3784,60.597252,0.925926
transformer-tasks16-seed42,transformer,16,42,parity,fixed_holdout,160,320,50.000000,0.000000
