model_kind,run_id,architecture,condition,model_seed,layer,probe_task_family,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
random,random-transformer-seed314159,transformer,random_init,314159,final_norm,global_run,8,0.2927864457575768,0.525672424700292,0.9168212048553088,0.556396484375,0.4976806640625,0.0587158203125
random,random-transformer-seed314159,transformer,random_init,314159,final_norm,local,8,0.08364057860095615,0.2758786222429649,0.972957708657639,0.39263916015625,0.3752288818359375,0.0174102783203125
random,random-transformer-seed314159,transformer,random_init,314159,final_norm,positional,8,0.41308207342954584,0.6341198031496704,0.7688397578844072,0.463653564453125,0.33001708984375,0.133636474609375
random,random-transformer-seed42,transformer,random_init,42,block_01,all,32,0.11314952787234704,0.3105978535382764,0.9692697224769989,0.4283905029296875,0.4211578369140625,0.007232666015625
random,random-transformer-seed42,transformer,random_init,42,block_01,cycle,8,0.10146410036276993,0.28669878528593906,0.9507550312753781,0.402984619140625,0.4817047119140625,-0.0787200927734375
random,random-transformer-seed42,transformer,random_init,42,block_01,global_run,8,0.11219008260128673,0.32252089217670626,1.028020307425598,0.5184783935546875,0.4976806640625,0.0207977294921875
random,random-transformer-seed42,transformer,random_init,42,block_01,local,8,0.041139205894315384,0.20095409751700538,0.9956934935314934,0.3865203857421875,0.3752288818359375,0.01129150390625
random,random-transformer-seed42,transformer,random_init,42,block_01,positional,8,0.19780472263101612,0.4322176391734548,0.902610057675526,0.40557861328125,0.33001708984375,0.0755615234375
random,random-transformer-seed42,transformer,random_init,42,block_02,all,32,0.21528188416247435,0.4207464936330349,0.9072732077634312,0.4517822265625,0.4211578369140625,0.0306243896484375
random,random-transformer-seed42,transformer,random_init,42,block_02,cycle,8,0.10461820120131275,0.2805407718244274,0.9488096483463994,0.4026336669921875,0.4817047119140625,-0.079071044921875
random,random-transformer-seed42,transformer,random_init,42,block_02,global_run,8,0.27574428958541913,0.5087550021378388,0.9280044098852455,0.5532684326171875,0.4976806640625,0.0555877685546875
random,random-transformer-seed42,transformer,random_init,42,block_02,local,8,0.07897984701266414,0.26921473135335094,0.9755163028078158,0.390533447265625,0.3752288818359375,0.0153045654296875
random,random-transformer-seed42,transformer,random_init,42,block_02,positional,8,0.40178519885050135,0.6244754692165225,0.7767624700142645,0.460693359375,0.33001708984375,0.13067626953125
random,random-transformer-seed42,transformer,random_init,42,block_03,all,32,0.22546313836621934,0.42874567700370325,0.9004293441285275,0.4567108154296875,0.4211578369140625,0.035552978515625
random,random-transformer-seed42,transformer,random_init,42,block_03,cycle,8,0.1010734651073112,0.27145944419964396,0.9507487830129187,0.4023284912109375,0.4817047119140625,-0.079376220703125
random,random-transformer-seed42,transformer,random_init,42,block_03,global_run,8,0.29248371532170514,0.5247563633697593,0.9167820942853284,0.559112548828125,0.4976806640625,0.061431884765625
random,random-transformer-seed42,transformer,random_init,42,block_03,local,8,0.08386125913111997,0.2759874936116477,0.9728543493049521,0.3935699462890625,0.3752288818359375,0.018341064453125
random,random-transformer-seed42,transformer,random_init,42,block_03,positional,8,0.42443411390474095,0.642779406833762,0.7613321499109106,0.471832275390625,0.33001708984375,0.141815185546875
random,random-transformer-seed42,transformer,random_init,42,block_04,all,32,0.2239189160056418,0.4270472268598134,0.9013137747689691,0.4548301696777344,0.4211578369140625,0.033672332763671875
random,random-transformer-seed42,transformer,random_init,42,block_04,cycle,8,0.09635488063517884,0.265209305483671,0.953325058000971,0.400360107421875,0.4817047119140625,-0.0813446044921875
random,random-transformer-seed42,transformer,random_init,42,block_04,global_run,8,0.29437213625971864,0.5271311978323536,0.915358576933003,0.5581817626953125,0.4976806640625,0.0605010986328125
random,random-transformer-seed42,transformer,random_init,42,block_04,local,8,0.08520981080193984,0.27679648111650124,0.9721245865042936,0.3935546875,0.3752288818359375,0.0183258056640625
random,random-transformer-seed42,transformer,random_init,42,block_04,positional,8,0.4197388363257297,0.6390519230067279,0.7644468776376088,0.46722412109375,0.33001708984375,0.13720703125
random,random-transformer-seed42,transformer,random_init,42,embedding,all,32,-6.938893903907228e-18,-0.00033509393415295216,1.0302822599035704,0.3819007873535156,0.4211578369140625,-0.039257049560546875
random,random-transformer-seed42,transformer,random_init,42,embedding,cycle,8,0.0,-0.0026619362020621996,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
random,random-transformer-seed42,transformer,random_init,42,embedding,global_run,8,0.0,-0.0018931600827885452,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
random,random-transformer-seed42,transformer,random_init,42,embedding,local,8,0.0,0.003454164647209407,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
random,random-transformer-seed42,transformer,random_init,42,embedding,positional,8,-2.7755575615628914e-17,-0.00023944409897047082,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
random,random-transformer-seed42,transformer,random_init,42,final_norm,all,32,0.22246635468875928,0.4248602682525186,0.9021752791110741,0.453521728515625,0.4211578369140625,0.0323638916015625
random,random-transformer-seed42,transformer,random_init,42,final_norm,cycle,8,0.09504168516780741,0.26232273443808324,0.9540226211851094,0.40118408203125,0.4817047119140625,-0.0805206298828125
random,random-transformer-seed42,transformer,random_init,42,final_norm,global_run,8,0.29208906528508405,0.524746642110659,0.9168620368916722,0.5557403564453125,0.4976806640625,0.0580596923828125
random,random-transformer-seed42,transformer,random_init,42,final_norm,local,8,0.083854581490323,0.27421694858665757,0.9728465181625562,0.3911590576171875,0.3752288818359375,0.01593017578125
random,random-transformer-seed42,transformer,random_init,42,final_norm,positional,8,0.41888008681182265,0.6381547478746746,0.7649699402049585,0.46600341796875,0.33001708984375,0.135986328125
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,block_01,all,32,0.12955510763864167,0.31985677329669965,0.9583812849411687,0.38954925537109375,0.4211578369140625,-0.03160858154296875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,block_01,cycle,8,0.012947535727950543,0.08490876111400839,0.9975374611322059,0.3566131591796875,0.4817047119140625,-0.125091552734375
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,block_01,global_run,8,0.21127424469818162,0.45327815472086974,0.9670642534442512,0.4744873046875,0.4976806640625,-0.023193359375
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,block_01,local,8,0.09158660318341832,0.29931768938841463,0.9686745023728256,0.3716888427734375,0.3752288818359375,-0.0035400390625
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,block_01,positional,8,0.20241204694501613,0.4419224879635058,0.9002489228153924,0.35540771484375,0.33001708984375,0.025390625
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,embedding,all,32,0.0,-0.0009239800284635084,1.0302822599035701,0.3819007873535156,0.4211578369140625,-0.039257049560546875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,embedding,cycle,8,2.7755575615628914e-17,-0.0027093019546749744,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,embedding,global_run,8,0.0,-0.0029549746635101496,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,embedding,local,8,-2.7755575615628914e-17,0.0016684499668847708,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,embedding,positional,8,0.0,0.0002999065374463196,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,final_norm,all,32,0.13551316691324802,0.3285270522115611,0.9548965225473132,0.3897132873535156,0.4211578369140625,-0.031444549560546875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,final_norm,cycle,8,0.014527649992438815,0.08992081350296982,0.9967304016930719,0.356658935546875,0.4817047119140625,-0.1250457763671875
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,final_norm,global_run,8,0.22081708432911104,0.4645137159895989,0.9609903533216073,0.477020263671875,0.4976806640625,-0.020660400390625
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,final_norm,local,8,0.09992790842287994,0.31267252070403956,0.9641434039295786,0.3709259033203125,0.3752288818359375,-0.004302978515625
trained,category-algebra-a4-mlp-seed17,mlp,algebra_a4,17,final_norm,positional,8,0.20678002490856234,0.4470011586496361,0.8977219312449949,0.354248046875,0.33001708984375,0.02423095703125
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,block_01,all,32,0.11581944606801263,0.30036058444424785,0.9661359592461147,0.3878898620605469,0.4211578369140625,-0.033267974853515625
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,block_01,cycle,8,0.011073273374739123,0.0737752059640672,0.9984918421587966,0.355926513671875,0.4817047119140625,-0.1257781982421875
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,block_01,global_run,8,0.19711143539517548,0.43619471165068374,0.9761408283302883,0.474395751953125,0.4976806640625,-0.023284912109375
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,block_01,local,8,0.09029060763579581,0.29605776447395993,0.9691892478591115,0.3715057373046875,0.3752288818359375,-0.00372314453125
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,block_01,positional,8,0.16480246786634012,0.39541465568828055,0.9207219186362626,0.3497314453125,0.33001708984375,0.01971435546875
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,embedding,all,32,-1.734723475976807e-17,-0.00011266086757724249,1.0302822599035704,0.3819007873535156,0.4211578369140625,-0.039257049560546875
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,embedding,cycle,8,0.0,-0.0031926407401534837,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,embedding,global_run,8,-2.7755575615628914e-17,-0.0019756557079059303,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,embedding,local,8,1.3877787807814457e-17,0.0041642270365743845,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,embedding,positional,8,-5.551115123125783e-17,0.0005534259411760596,1.009444633844839,0.3288726806640625,0.33001708984375,-0.0011444091796875
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,final_norm,all,32,0.1214739482562357,0.30781422243755246,0.9628904574178947,0.38861083984375,0.4211578369140625,-0.0325469970703125
trained,category-algebra-a4-mlp-seed314159,mlp,algebra_a4,314159,final_norm,cycle,8,0.012432505109467404,0.07565971699945141,0.9977988184694644,0.3583984375,0.4817047119140625,-0.1233062744140625
