architecture,condition,layer,probe_task_family,seed_count,length_conditioned_r2_delta_mean,length_conditioned_r2_delta_sample_sd,pearson_r_delta_mean,pearson_r_delta_sample_sd,normalized_rmse_delta_mean,normalized_rmse_delta_sample_sd,exact_accuracy_delta_mean,exact_accuracy_delta_sample_sd,length_mode_baseline_accuracy_delta_mean,length_mode_baseline_accuracy_delta_sample_sd,exact_accuracy_minus_baseline_delta_mean,exact_accuracy_minus_baseline_delta_sample_sd
transformer,algebra_a4,final_norm,positional,3,-0.004653730415683714,0.010130529037823261,-0.0016815283184539915,0.007962045062325946,0.0022503037782407587,0.006238236442887337,-0.0065460205078125,0.004016946862623916,0.0,0.0,-0.0065460205078125,0.004016946862623916
transformer,algebra_a4,final_norm,cycle,3,-0.012382420400429006,0.0049003694410034064,0.0034084372754632497,0.01077945216003911,0.007165206721507962,0.0025158329273747898,-0.0002899169921875,0.002996788879286804,0.0,0.0,-0.0002899169921875,0.002996788879286804
transformer,algebra_a4,final_norm,global_run,3,0.046745604275825935,0.011358087305916083,0.04970437804918596,0.010091285560041368,-0.03280949278141665,0.008185822806731668,-0.0019175211588541667,0.005072746117980267,0.0,0.0,-0.0019175211588541667,0.005072746117980267
transformer,algebra_a4,final_norm,all,3,0.025802126775001172,0.004709594146711056,0.042763688332096685,0.006779238736836022,-0.01580720051216511,0.0030021546001701644,-0.0011507670084635417,0.002635186502212989,0.0,0.0,-0.0011507670084635417,0.002635186502212989
mlp,encoding_e4,embedding,local,3,1.850371707708594e-17,8.012344526598183e-18,-0.0016286161709954735,0.0014630385272207697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlp,encoding_e4,embedding,positional,3,-1.850371707708594e-17,4.239734207189668e-17,-0.0007161637159779117,0.0007087768435393383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlp,encoding_e4,embedding,cycle,3,4.625929269271485e-18,8.012344526598183e-18,0.0017558461152766451,0.001044681851907373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlp,encoding_e4,embedding,global_run,3,0.0,0.0,0.00012135943780647235,0.0024513996555416916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlp,encoding_e4,embedding,all,3,1.1564823173178713e-18,1.2184297266557863e-17,-0.00011689358347256695,0.00020346502853938028,-7.401486830834377e-17,1.2819751242557092e-16,0.0,0.0,0.0,0.0,0.0,0.0
mlp,encoding_e4,block_01,local,3,0.09281921798280564,0.017878026390345015,0.290185876638443,0.026849036600352292,-0.04861541252883143,0.009590921023130238,0.0229644775390625,0.006912399862566074,0.0,0.0,0.0229644775390625,0.006912399862566074
