comparison,architecture,condition_a,seed_a,run_id_a,layer,condition_b,seed_b,run_id_b,probe_examples,linear_cka
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_02,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.6106588444526951
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_03,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.5617148085032494
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_04,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.36519252142370623
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,final_norm,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.3405355657713272
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,embedding,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.9682632369005205
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_01,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.7167335691811282
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_02,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.693077459306549
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_03,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.5673324174341042
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_04,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.3143558510867096
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,final_norm,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.38133559072441175
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,embedding,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.9489666996346784
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,block_01,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.7456574464967339
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,block_02,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.7495082875420741
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,block_03,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.6556411957970727
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,block_04,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.5015797600796109
within_condition_cross_seed,transformer,statistics_s4,42,category-statistics-s4-transformer-seed42,final_norm,statistics_s4,314159,category-statistics-s4-transformer-seed314159,4096,0.5258942315634118
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,embedding,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.8892962150678516
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_01,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.7020543620877904
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_02,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.6305486711226761
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_03,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.6854059526641209
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_04,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.6123895470590566
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,final_norm,algebra_a4,42,category-algebra-a4-transformer-seed42,4096,0.6070686087590508
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,embedding,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.9010695785810704
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_01,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.6183249609278169
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_02,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.7651316149167363
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_03,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.8677823888234824
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,block_04,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.5726347989224942
within_condition_cross_seed,transformer,algebra_a4,17,category-algebra-a4-transformer-seed17,final_norm,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.6243367748793006
within_condition_cross_seed,transformer,algebra_a4,42,category-algebra-a4-transformer-seed42,embedding,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.9426829908690936
within_condition_cross_seed,transformer,algebra_a4,42,category-algebra-a4-transformer-seed42,block_01,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.8969200865428972
within_condition_cross_seed,transformer,algebra_a4,42,category-algebra-a4-transformer-seed42,block_02,algebra_a4,314159,category-algebra-a4-transformer-seed314159,4096,0.8981760706838328
