shots,initialization,architecture,base_trained_task_count,task,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
5,pretrained,transformer,4,parity,3,1.9543814415017764,0.2594458364774096,0.6729666666666666,0.039979536432196573,0.34593333333333337,0.079959072864393133
5,pretrained,transformer,4,to_lehmer,3,2.304595351079497,0.087653682376972755,0.55978504167201926,0.0034720585573816032,0,0
5,pretrained,transformer,8,to_reduced_word,3,2.1728410870697332,0.10107954913009887,0.51072420585989875,0.0075683584993620741,0,0
5,pretrained,transformer,8,compose,3,2.039478478522168,0.10519796779243423,0.48678903694278519,0.020124053130481427,0,0
5,pretrained,transformer,8,parity,3,1.3601066695332527,0.29256300984118488,0.73470000000000002,0.010004498987955388,0.46939999999999998,0.020008997975910724
5,pretrained,transformer,8,to_lehmer,3,1.9522142299685108,0.1252924647656567,0.56744599765655712,0.0054057801209060523,0.0061999999999999998,0.010738715006927038
5,pretrained,transformer,16,to_reduced_word,3,1.9378627697808366,0.12280769290593395,0.51972951200110284,0.00026458855827750372,0,0
5,pretrained,transformer,16,compose,3,1.9508207017331405,0.13235423034049021,0.49279955387473146,0.016114367428170982,0,0
5,pretrained,transformer,16,parity,3,1.3318601702610653,0.29647658982583491,0.73740000000000006,0.0079793483443198789,0.47479999999999994,0.015958696688639702
5,pretrained,transformer,16,to_lehmer,3,1.6519563317471981,0.067920195715612169,0.57632344182461548,0.0098673798964394443,0.018466666666666669,0.02158734197008361
5,random,transformer,0,to_reduced_word,3,2.5351770212921672,0.15186768989939131,0.54112312127738604,0.0065908569774422955,0,0
5,random,transformer,0,compose,3,3.2683928789112513,0.1702257059205958,0.51145355938060844,0.0019306021354186093,0,0
5,random,transformer,0,parity,3,1.3152167541503907,0.35314658921718889,0.74460000000000004,0.0026888659319497105,0.48920000000000002,0.0053777318638995025
5,random,transformer,0,to_lehmer,3,2.7931093288713384,0.10683899531414982,0.57443155940160462,0.0060173441018142992,0.008266666666666667,0.0094706564362420677
5,random,mlp,0,to_reduced_word,3,2.8680903924360002,0.045320786860344096,0.51160989765854448,0.0030614018922036478,0,0
5,random,mlp,0,compose,3,3.1211282076207727,0.065192318408525671,0.50002552653385013,0.0041866715879179854,0,0
5,random,mlp,0,parity,3,0.87025932820638019,0.060378020082755231,0.74730000000000008,0.0034597687784012139,0.49459999999999998,0.00691953755680244
5,random,mlp,0,to_lehmer,3,2.9543368145048219,0.14467890270087491,0.54230459307010481,0.015171703406536625,0.008266666666666667,0.0094706564362420677
20,pretrained,mlp,1,to_reduced_word,3,8.5889046719267537,0.61930413573543752,0.024343666966393878,0.00095204084551893441,0,0
20,pretrained,mlp,1,compose,3,9.1091250376685124,0.31613747644680984,0.021599374796278627,0.00080341842575564208,0,0
20,pretrained,mlp,1,parity,3,6.1920017438252763,0.5609775010064062,0.53443333333333332,0.00023094010767582486,0.068866666666666673,0.00046188021535170583
20,pretrained,mlp,1,to_lehmer,3,9.8285377694091753,0.40708435968740686,0.013622721274334629,0.0066114549104861172,0,0
20,pretrained,mlp,2,to_reduced_word,3,7.8824483907250924,0.1562786801848649,0.023722291568391132,0.0028922532865912954,0,0
20,pretrained,mlp,2,compose,3,8.4490098924446233,0.42869479742177802,0.021298947128657656,0.0017556212905368289,0,0
20,pretrained,mlp,2,parity,3,5.1701701210021973,0.084962809255120175,0.53213333333333335,0.00342685472895095,0.064266666666666666,0.0068537094579018566
20,pretrained,mlp,2,to_lehmer,3,9.1816617296444125,0.22676504598216188,0.01799429321063347,0.005454042188181958,0,0
