run_id,architecture,trained_task_count,seed,task,task_status,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,in_domain_loss,in_domain_token_accuracy,in_domain_sequence_accuracy,loss_delta_out_minus_in,token_accuracy_delta_out_minus_in,sequence_accuracy_delta_out_minus_in
transformer-tasks04-seed42,transformer,4,42,lds_length,pool_unseen,1000,2000,2.9434323902130126,0.495,0.019,2.569385061645508,0.583,0.166,0.3740473285675048,-0.08799999999999997,-0.14700000000000002
transformer-tasks04-seed42,transformer,4,42,length,pool_unseen,1000,5000,15.9858744140625,0.0008,0.0,12.098460887841421,0.2267912362655438,0.0636,3.8874135262210796,-0.2259912362655438,-0.0636
transformer-tasks04-seed42,transformer,4,42,lis_length,seen,1000,2000,1.0537923755645753,0.614,0.263,0.2928747690439224,0.8749,0.7498,0.7609176065206529,-0.2609,-0.4868
transformer-tasks04-seed42,transformer,4,42,parity,fixed_train_holdout,1000,2000,5.127314842224121,0.449,0.001,4.40150027923584,0.5335,0.067,0.7258145629882806,-0.08449999999999996,-0.066
transformer-tasks04-seed42,transformer,4,42,pattern_avoidance,pool_unseen,1000,2000,4.288140233993531,0.3685,0.16,9.69163285522461,0.1965,0.011,-5.403492621231079,0.172,0.149
transformer-tasks04-seed42,transformer,4,42,peaks,pool_unseen,1000,2000,2.1918804168701174,0.514,0.057,3.3162853286743164,0.5543,0.1086,-1.124404911804199,-0.0403,-0.0516
transformer-tasks04-seed42,transformer,4,42,recoils,seen,1000,2000,2.641521070480347,0.505,0.054,0.3915720123767853,0.8325,0.665,2.2499490581035615,-0.3275,-0.611
transformer-tasks04-seed42,transformer,4,42,right_multiply_simple,pool_unseen,1000,73116,6.239356155266118,0.34184036325838396,0.0,5.719726718983836,0.38208140751978736,0.0,0.5196294362822824,-0.0402410442614034,0.0
transformer-tasks04-seed42,transformer,4,42,rsk_shape,pool_unseen,1000,20450,6.603104931521241,0.31916870415647924,0.0,7.467698577623342,0.3338327014797603,0.0,-0.8645936461021018,-0.014663997323281053,0.0
transformer-tasks04-seed42,transformer,4,42,to_cycle,pool_unseen,1000,73182,7.10510371002475,0.3260364570522806,0.0,7.427049408895991,0.3439773264052905,0.0,-0.32194569887124125,-0.01794086935300987,0.0
transformer-tasks04-seed42,transformer,4,42,to_inversion_vector,seen,1000,72902,3.6803342640205345,0.46444541987874133,0.0,0.4741624296261762,0.822366618622768,0.3366,3.2061718343943584,-0.3579211987440267,-0.3366
transformer-tasks04-seed42,transformer,4,42,to_lehmer,fixed_train_holdout,1000,72832,5.203671058158673,0.34826724516695956,0.0,3.7716907294111808,0.491311354798024,0.0,1.4319803287474926,-0.14304410963106445,0.0
transformer-tasks04-seed314159,transformer,4,314159,bruhat_leq,pool_unseen,1000,2000,6.199912780761719,0.184,0.012,11.946764581298828,0.0255,0.0056,-5.746851800537109,0.1585,0.0064
transformer-tasks04-seed314159,transformer,4,314159,compose,fixed_train_holdout,1000,72906,8.698108326400176,0.1639371245165007,0.0,9.881157513103211,0.10690512376441759,0.0,-1.1830491867030357,0.057032000752083103,0.0
transformer-tasks04-seed314159,transformer,4,314159,cycle_type,pool_unseen,1000,10104,8.809181883895766,0.3096793349168646,0.0,9.07672562552222,0.26297635472667585,0.0,-0.26754374162645433,0.04670298019018876,0.0
transformer-tasks04-seed314159,transformer,4,314159,descents,pool_unseen,1000,2000,5.616341808319092,0.4495,0.002,2.1829443908691406,0.6147,0.2294,3.4333974174499513,-0.1652,-0.2274
transformer-tasks04-seed314159,transformer,4,314159,exceedances,pool_unseen,1000,2000,5.666839050292968,0.447,0.002,2.2003442207336428,0.6136,0.2272,3.4664948295593256,-0.16660000000000003,-0.2252
transformer-tasks04-seed314159,transformer,4,314159,fixed_points,seen,1000,2000,2.1666702632904054,0.649,0.356,0.0008233599781990052,1.0,1.0,2.1658469033122065,-0.351,-0.644
transformer-tasks04-seed314159,transformer,4,314159,inverse,pool_unseen,1000,73094,6.401234412195255,0.36628177415382934,0.0,4.597529572186683,0.43582524730268907,0.0,1.8037048400085727,-0.06954347314885972,0.0
transformer-tasks04-seed314159,transformer,4,314159,lds_length,pool_unseen,1000,2000,1.5463694801330568,0.5795,0.159,2.522157730102539,0.5815,0.163,-0.9757882499694821,-0.0020000000000000018,-0.0040000000000000036
transformer-tasks04-seed314159,transformer,4,314159,length,pool_unseen,1000,5000,15.9253986328125,0.0342,0.0,12.854895898374854,0.17534048292650833,0.0558,3.070502734437646,-0.14114048292650833,-0.0558
transformer-tasks04-seed314159,transformer,4,314159,lis_length,seen,1000,2000,1.0521571273803711,0.6215,0.244,0.28518952412605286,0.88,0.76,0.7669676032543182,-0.25849999999999995,-0.516
transformer-tasks04-seed314159,transformer,4,314159,parity,fixed_train_holdout,1000,2000,5.10798405456543,0.479,0.0,4.156252798461914,0.5329,0.0658,0.9517312561035158,-0.05390000000000006,-0.0658
transformer-tasks04-seed314159,transformer,4,314159,pattern_avoidance,pool_unseen,1000,2000,6.526782207489013,0.191,0.025,11.43880199279785,0.0774,0.002,-4.912019785308837,0.1136,0.023
transformer-tasks04-seed314159,transformer,4,314159,peaks,pool_unseen,1000,2000,2.549565580368042,0.5305,0.062,2.8300361671447756,0.5665,0.133,-0.28047058677673364,-0.03600000000000003,-0.07100000000000001
transformer-tasks04-seed314159,transformer,4,314159,recoils,seen,1000,2000,5.4926492233276365,0.4485,0.0,0.3575565203666687,0.8523,0.7046,5.135092702960968,-0.40379999999999994,-0.7046
transformer-tasks04-seed314159,transformer,4,314159,right_multiply_simple,pool_unseen,1000,73116,6.533177353932877,0.35726790305815415,0.0,4.816097823231173,0.45159298592245,0.0,1.717079530701704,-0.09432508286429586,0.0
transformer-tasks04-seed314159,transformer,4,314159,rsk_shape,pool_unseen,1000,20450,5.952661780471615,0.40762836185819074,0.0,7.75323731342067,0.3212058212058212,0.0,-1.800575532949055,0.08642254065236954,0.0
transformer-tasks04-seed314159,transformer,4,314159,to_cycle,pool_unseen,1000,73182,7.25872884635011,0.3430625017080703,0.0,6.70017361215223,0.3785604629192253,0.0,0.5585552341978799,-0.035497961211155005,0.0
transformer-tasks04-seed314159,transformer,4,314159,to_inversion_vector,seen,1000,72902,3.4385876250180036,0.4571753861348111,0.0,0.5112324463709265,0.8096925587545115,0.2848,2.927355178647077,-0.3525171726197004,-0.2848
transformer-tasks04-seed314159,transformer,4,314159,to_lehmer,fixed_train_holdout,1000,72832,4.6239176718338095,0.3884281634446397,0.0,3.4028506805840824,0.5163612794730758,0.0,1.2210669912497272,-0.12793311602843604,0.0
mlp-tasks04-seed17,mlp,4,17,bruhat_leq,pool_unseen,1000,2000,8.165440063476563,0.265,0.022,10.645450854492188,0.1339,0.0,-2.4800107910156246,0.13110000000000002,0.022
mlp-tasks04-seed17,mlp,4,17,compose,fixed_train_holdout,1000,72906,12.402477724955766,0.1507557677008751,0.0,13.213101132614147,0.05868942848054289,0.0,-0.8106234076583814,0.0920663392203322,0.0
mlp-tasks04-seed17,mlp,4,17,cycle_type,pool_unseen,1000,10104,6.65931666020071,0.3973673792557403,0.0,9.20594451264007,0.33277035063513966,0.0,-2.54662785243936,0.06459702862060063,0.0
mlp-tasks04-seed17,mlp,4,17,descents,pool_unseen,1000,2000,6.795391933441162,0.4465,0.0,1.311802869796753,0.6092,0.2184,5.483589063644409,-0.16269999999999996,-0.2184
mlp-tasks04-seed17,mlp,4,17,exceedances,pool_unseen,1000,2000,6.770925285339356,0.449,0.0,1.4553019721984863,0.5937,0.1874,5.315623313140869,-0.1447,-0.1874
mlp-tasks04-seed17,mlp,4,17,fixed_points,seen,1000,2000,2.9913117408752443,0.5545,0.128,0.4021850642681122,0.8136,0.6272,2.5891266766071324,-0.2591,-0.4992
mlp-tasks04-seed17,mlp,4,17,inverse,pool_unseen,1000,73094,8.026136781329948,0.3179604345089884,0.0,5.118962730798398,0.4610513020280001,0.0,2.90717405053155,-0.14309086751901168,0.0
mlp-tasks04-seed17,mlp,4,17,lds_length,pool_unseen,1000,2000,6.552217750549317,0.458,0.001,1.499722728729248,0.5899,0.1798,5.052495021820069,-0.13189999999999996,-0.1788
mlp-tasks04-seed17,mlp,4,17,length,pool_unseen,1000,5000,17.2968,0.0,0.0,13.80814245366934,0.22481742219882886,0.0298,3.4886575463306606,-0.22481742219882886,-0.0298
mlp-tasks04-seed17,mlp,4,17,lis_length,seen,1000,2000,6.627351902008057,0.4625,0.001,0.5124426748275757,0.7732,0.5464,6.1149092271804815,-0.3107,-0.5454
mlp-tasks04-seed17,mlp,4,17,parity,fixed_train_holdout,1000,2000,3.1446634941101075,0.563,0.144,4.317138032531738,0.5311,0.0622,-1.1724745384216306,0.03189999999999993,0.08179999999999998
mlp-tasks04-seed17,mlp,4,17,pattern_avoidance,pool_unseen,1000,2000,7.153997802734375,0.268,0.007,11.860970974731446,0.1683,0.0,-4.70697317199707,0.09970000000000001,0.007
mlp-tasks04-seed17,mlp,4,17,peaks,pool_unseen,1000,2000,6.769713203430176,0.4715,0.0,1.5791193790435791,0.5637,0.1274,5.190593824386597,-0.0922,-0.1274
mlp-tasks04-seed17,mlp,4,17,recoils,seen,1000,2000,6.891430843353271,0.438,0.0,0.6723925102233886,0.7142,0.4284,6.219038333129883,-0.27619999999999995,-0.4284
mlp-tasks04-seed17,mlp,4,17,right_multiply_simple,pool_unseen,1000,73116,8.285999502823424,0.3068685376661743,0.0,5.448015196929136,0.44264309823707204,0.0,2.837984305894288,-0.13577456057089776,0.0
mlp-tasks04-seed17,mlp,4,17,rsk_shape,pool_unseen,1000,20450,4.523388057046531,0.43638141809290953,0.0,7.121408873757829,0.38357588357588357,0.0,-2.5980208167112986,0.052805534517025965,0.0
mlp-tasks04-seed17,mlp,4,17,to_cycle,pool_unseen,1000,73182,8.872617895815399,0.29877565521576344,0.0,7.113384874260082,0.39313297118564006,0.0,1.7592330215553167,-0.09435731596987662,0.0
