logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-bundle-s1-r4-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17,bundle,s1,r4,4,17,"descents,anti_fixed_points,deficiencies,global_descents",False,20000,0.87265625,0.7453125,181bbffc904903051ccca297e975d8b18f886958ca8feecb8b647fabddbda832
geometry-bundle-s1-r4-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42,bundle,s1,r4,4,42,"descents,anti_fixed_points,deficiencies,global_descents",False,20000,0.87265625,0.7453124999999999,4a2fb36720f874f628862bb2369e7ed6941ead6cf72e60e4f8b5549fc6f1d6f2
geometry-bundle-s1-r4-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101,bundle,s1,r4,4,101,"descents,anti_fixed_points,deficiencies,global_descents",False,20000,0.871875,0.74375,82c853523ebb497238dc2794b3bc4ebfbfe042378bcffbed778f8f64a5685808
geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-anchor-transformer-seed17,bundle,s2,anchor,,17,"peaks,lis_length,longest_decreasing_run,left_to_right_minima",False,20000,0.88046875,0.7609375,0b85d53b672d48e5aa290e3f99b692d718b801aa4e5b0b7a697735e5c354bd3c
geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-anchor-transformer-seed42,bundle,s2,anchor,,42,"peaks,lis_length,longest_decreasing_run,left_to_right_minima",False,20000,0.8695312500000001,0.7390625,f4416b9632073f4fa3af9b6687380baa19d617265d2187f2fe3a52ea55641e3b
geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-anchor-transformer-seed101,bundle,s2,anchor,,101,"peaks,lis_length,longest_decreasing_run,left_to_right_minima",False,20000,0.9078125,0.815625,033ac45b291d647be4a78432f64eabb255bd29f7a137eaacff5696d79df33254
geometry-bundle-s2-r0-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17,bundle,s2,r0,0,17,"descents,fixed_points,deficiencies,global_descents",False,20000,0.925,0.85,6d7a53f4620a902d33b060bc02b39a48ba390a47b76b96203fe4c919bfb8711f
geometry-bundle-s2-r0-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42,bundle,s2,r0,0,42,"descents,fixed_points,deficiencies,global_descents",False,20000,0.92421875,0.8484375,968572945215bf08953206a0e90a95527eb94f1b83f3f53a53ba136d268113e4
geometry-bundle-s2-r0-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101,bundle,s2,r0,0,101,"descents,fixed_points,deficiencies,global_descents",False,20000,0.9265625,0.853125,45cbd82a4cad414f9edce43f476cd0834b6f1496bb37560bf2f22d5f3987dfa1
geometry-bundle-s2-r1-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17,bundle,s2,r1,1,17,"fixed_points,deficiencies,left_to_right_maxima,global_descents",False,20000,0.98671875,0.9734375,278cc943e88776491879d08e45696d84a199fe11a3f30e5e9743da5d3fbb90fe
