split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s1,101,1,block_04,0.2633929907030665,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
s1,101,1,final_norm,0.22805308850072142,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
s1,101,2,embedding,0.8971475397163481,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,2,block_01,0.5717045321252942,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,2,block_02,0.6077262532060931,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,2,block_03,0.5956465846116525,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,2,block_04,0.21951579438589267,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,2,final_norm,0.1998719759229663,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101
s1,101,4,embedding,0.8945715074726793,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s1,101,4,block_01,0.7521961830718157,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s1,101,4,block_02,0.6646297131587586,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s1,101,4,block_03,0.5680210889013048,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s1,101,4,block_04,0.2300673118205526,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s1,101,4,final_norm,0.1952271896055488,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r4-transformer-seed101
s2,17,0,embedding,0.8877273312242745,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,0,block_01,0.4306108486152928,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,0,block_02,0.4953188551031925,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,0,block_03,0.4454765079472621,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,0,block_04,0.19792462891368556,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,0,final_norm,0.19786739406882145,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r0-transformer-seed17
s2,17,1,embedding,0.8902797731572033,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,1,block_01,0.8138824139566915,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,1,block_02,0.8031357540736744,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,1,block_03,0.6452551461561877,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,1,block_04,0.20647753530622487,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,1,final_norm,0.23244612759463226,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r1-transformer-seed17
s2,17,2,embedding,0.9277586605430886,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,2,block_01,0.10211593635205687,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,2,block_02,0.2107627965310335,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,2,block_03,0.22136717918394863,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,2,block_04,0.2466530961593837,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,2,final_norm,0.3566189079353649,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17
s2,17,4,embedding,0.8555879748996065,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,17,4,block_01,0.6983244836809012,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,17,4,block_02,0.7945356453286287,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,17,4,block_03,0.649137472721464,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,17,4,block_04,0.4064600308659947,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,17,4,final_norm,0.5654410868076948,geometry-bundle-s2-anchor-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17
s2,42,0,embedding,0.8643582938309422,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
s2,42,0,block_01,0.5521378316194954,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
s2,42,0,block_02,0.6657671600227363,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
