pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,block_01,0.8526284676872008
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,block_02,0.8764869339689666
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,block_03,0.8842183878389781
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,block_04,0.7451107891057646
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,final_norm,0.7653354259475361
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,embedding,0.9122914614100848
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,block_01,0.799818002142543
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,block_02,0.7311081296475496
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,block_03,0.5168411924882836
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,block_04,0.18548147941651486
exceedance_inverse,exceedances,deficiencies,101,wrong,complement,final_norm,0.17676918098670838
subsequence_complement,lis_length,lds_length,17,identity,identity,embedding,0.9048552125539417
subsequence_complement,lis_length,lds_length,17,identity,identity,block_01,0.7548728193854921
subsequence_complement,lis_length,lds_length,17,identity,identity,block_02,0.29223448355528253
subsequence_complement,lis_length,lds_length,17,identity,identity,block_03,0.34308136878225565
subsequence_complement,lis_length,lds_length,17,identity,identity,block_04,0.13443162968070094
subsequence_complement,lis_length,lds_length,17,identity,identity,final_norm,0.10658773241860506
subsequence_complement,lis_length,lds_length,17,correct,complement,embedding,0.9048552125539417
subsequence_complement,lis_length,lds_length,17,correct,complement,block_01,0.7801191248926665
subsequence_complement,lis_length,lds_length,17,correct,complement,block_02,0.37540789535895475
subsequence_complement,lis_length,lds_length,17,correct,complement,block_03,0.564258051972898
subsequence_complement,lis_length,lds_length,17,correct,complement,block_04,0.3789556764831415
subsequence_complement,lis_length,lds_length,17,correct,complement,final_norm,0.3230711573027185
subsequence_complement,lis_length,lds_length,17,wrong,inverse,embedding,0.9048552125539417
subsequence_complement,lis_length,lds_length,17,wrong,inverse,block_01,0.7702577332652886
subsequence_complement,lis_length,lds_length,17,wrong,inverse,block_02,0.2898811978661886
subsequence_complement,lis_length,lds_length,17,wrong,inverse,block_03,0.3423442847218585
subsequence_complement,lis_length,lds_length,17,wrong,inverse,block_04,0.13444188679978086
subsequence_complement,lis_length,lds_length,17,wrong,inverse,final_norm,0.10649309824858338
subsequence_complement,lis_length,lds_length,42,identity,identity,embedding,0.9311218580020563
subsequence_complement,lis_length,lds_length,42,identity,identity,block_01,0.4108448115809336
subsequence_complement,lis_length,lds_length,42,identity,identity,block_02,0.34581505797500384
subsequence_complement,lis_length,lds_length,42,identity,identity,block_03,0.46746212310989743
subsequence_complement,lis_length,lds_length,42,identity,identity,block_04,0.1351173656736359
subsequence_complement,lis_length,lds_length,42,identity,identity,final_norm,0.12436275622295599
