comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
same_task,global_descents,global_descents,17,101,False,block_02,0.19873346004448425
same_task,global_descents,global_descents,17,101,False,block_03,0.3492871400118453
same_task,global_descents,global_descents,17,101,False,block_04,0.373099101450149
same_task,global_descents,global_descents,17,101,False,final_norm,0.3608306089585785
same_task,global_descents,global_descents,42,101,False,embedding,0.6842427576876213
same_task,global_descents,global_descents,42,101,False,block_01,0.8106787875087468
same_task,global_descents,global_descents,42,101,False,block_02,0.8020399290363268
same_task,global_descents,global_descents,42,101,False,block_03,0.87191317428027
same_task,global_descents,global_descents,42,101,False,block_04,0.8807598638865322
same_task,global_descents,global_descents,42,101,False,final_norm,0.8825698858982082
same_task,components,components,17,42,False,embedding,0.8233044467931435
same_task,components,components,17,42,False,block_01,0.15978548686359278
same_task,components,components,17,42,False,block_02,0.9473502006873668
same_task,components,components,17,42,False,block_03,0.9300770775106643
same_task,components,components,17,42,False,block_04,0.9445168291450008
same_task,components,components,17,42,False,final_norm,0.9465449636178581
same_task,components,components,17,101,False,embedding,0.8350989815485224
same_task,components,components,17,101,False,block_01,0.20598012823260428
same_task,components,components,17,101,False,block_02,0.9312686897884738
same_task,components,components,17,101,False,block_03,0.9242258936250064
same_task,components,components,17,101,False,block_04,0.9425088679509044
same_task,components,components,17,101,False,final_norm,0.9412700017052806
same_task,components,components,42,101,False,embedding,0.8439057693350451
same_task,components,components,42,101,False,block_01,0.10242139719386328
same_task,components,components,42,101,False,block_02,0.9162476597893279
same_task,components,components,42,101,False,block_03,0.9181382583209035
same_task,components,components,42,101,False,block_04,0.9674327176284286
same_task,components,components,42,101,False,final_norm,0.9750063565662217
direct_relation,descents,recoils,17,17,True,embedding,0.9217755322317656
direct_relation,descents,recoils,17,17,True,block_01,0.5740681750835891
direct_relation,descents,recoils,17,17,True,block_02,0.5503488914245278
direct_relation,descents,recoils,17,17,True,block_03,0.442355051439118
direct_relation,descents,recoils,17,17,True,block_04,0.204138817053796
direct_relation,descents,recoils,17,17,True,final_norm,0.20691459568315013
direct_relation,descents,recoils,17,42,False,embedding,0.8845685702315532
direct_relation,descents,recoils,17,42,False,block_01,0.5724816401654697
